name,latitude,longitude,micrositeSlug,,,,,,,,,,,,,,,,,,,,,,
Laurieton Podiatry,-31.6504234,152.7972015,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Laurieton United Services Club,-31.650462,152.7986257,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Long Point Vineyard and Art Gallery,-31.5277595,152.8239238,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Lotus Bay Giftware and Clothing,-31.6488988,152.7968537,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Mid Coast Mobility,-31.6499136,152.7962368,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Miss Nellie's,-31.6332829,152.708439,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Nellz Flipz n Chipz,-31.650724,152.796898,camden-haven,,,,,,,,,,,,,,,,,,,,,,
North Haven Bakery,-31.640036,152.8168425,camden-haven,,,,,,,,,,,,,,,,,,,,,,
North Haven Pharmacy,-31.640036,152.8168425,camden-haven,,,,,,,,,,,,,,,,,,,,,,
North Haven Takeaway,-31.6367495,152.8269509,camden-haven,,,,,,,,,,,,,,,,,,,,,,
NVU Hair Beauty & Body,-31.6402066,152.8159695,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Our Little Café,-31.6476695,152.7962623,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Pearl Bay Framing & Trophies,-31.6513383,152.7963257,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Peggy Landon Ostepathy,-31.6333076,152.7237865,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Pomegranate Clothing,-31.650453,152.7971761,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Sandbar Café,-31.639871,152.8170493,camden-haven,,,,,,,,,,,,,,,,,,,,,,
"Shaza's Hair, Nails and Beauty",-31.5524574,152.8550323,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Streamline Hair Design,-31.6339549,152.7248851,camden-haven,,,,,,,,,,,,,,,,,,,,,,
T L C Hair and Beauty,-31.6498133,152.7965754,camden-haven,,,,,,,,,,,,,,,,,,,,,,
T-Bones Premium meats,-31.6513353,152.7965775,camden-haven,,,,,,,,,,,,,,,,,,,,,,
The Hope Shop Lake Cathie,-31.5458133,152.8559233,camden-haven,,,,,,,,,,,,,,,,,,,,,,
The Hope Shop North Haven,-31.6363535,152.8280996,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Village Café,-31.651725,152.796324,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Wiggly Tail Butchery,-31.6505383,152.7965354,camden-haven,,,,,,,,,,,,,,,,,,,,,,
The Pied Piper Children's and Babywear,-31.6499051,152.7970522,camden-haven,,,,,,,,,,,,,,,,,,,,,,
